City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
69,Cabo San Lucas,22.8909,-109.9124,75.06,72,1,3.0,MX,clear sky
70,Botesti,46.8,27.8833,45.5,81,100,5.39,RO,overcast clouds
71,Khatanga,71.9667,102.5,-20.29,97,100,4.29,RU,overcast clouds
72,Mount Gambier,-37.8333,140.7667,60.73,44,11,8.5,AU,few clouds
73,Sinop,41.7711,34.8709,42.69,91,100,3.22,TR,overcast clouds
74,Ekhabi,53.5102,142.9671,29.14,81,91,17.85,RU,overcast clouds
75,Ust-Maya,60.4167,134.5333,-14.71,97,100,0.34,RU,overcast clouds
76,Tuktoyaktuk,69.4541,-133.0374,-3.17,95,74,7.25,CA,broken clouds
77,Faanui,-16.4833,-151.75,80.42,79,18,17.78,PF,light rain
78,Lapua,62.9693,23.0088,34.48,74,43,10.89,FI,scattered clouds
79,Katobu,-4.9408,122.5276,87.85,62,80,4.5,ID,broken clouds
80,Bambous Virieux,-20.3428,57.7575,76.21,68,6,10.94,MU,clear sky
81,Arlit,18.7369,7.3853,77.02,20,88,7.2,NE,overcast clouds
82,Provideniya,64.3833,-173.3,11.05,75,2,8.21,RU,clear sky
83,Mahajanga,-15.7167,46.3167,75.22,94,20,1.14,MG,light rain
84,Dikson,73.5069,80.5464,-6.14,94,99,3.71,RU,overcast clouds
85,Carnarvon,-24.8667,113.6333,77.07,61,0,14.97,AU,clear sky
86,Znamenskoye,57.1281,73.8282,18.86,93,100,9.1,RU,overcast clouds
87,Hofn,64.2539,-15.2082,36.01,81,2,12.39,IS,clear sky
88,Bredasdorp,-34.5322,20.0403,57.27,79,86,9.98,ZA,light rain
89,Olafsvik,64.8945,-23.7142,34.54,73,75,18.12,IS,broken clouds
90,Manta,-0.95,-80.7333,71.38,83,40,4.61,EC,scattered clouds
91,Lata,40.1629,-8.3327,57.92,77,74,6.89,PT,broken clouds
92,Praia Da Vitoria,38.7333,-27.0667,65.75,83,100,17.65,PT,overcast clouds
93,Kavieng,-2.5744,150.7967,83.77,69,92,5.08,PG,light rain
94,Rehli,23.6333,79.0833,65.12,48,70,4.79,IN,broken clouds
95,East London,-33.0153,27.9116,59.49,82,7,4.14,ZA,clear sky
96,Yarmouth,41.7057,-70.2286,43.97,60,1,31.0,US,clear sky
97,Bluff,-46.6,168.3333,52.07,83,99,2.13,NZ,overcast clouds
98,Krasnyy Chikoy,50.3643,108.7512,12.85,89,100,1.32,RU,overcast clouds
99,Bandundu,-3.3167,17.3667,72.14,91,72,2.68,CD,broken clouds
100,Hibbing,47.4272,-92.9377,30.43,64,1,5.75,US,clear sky
101,Mahebourg,-20.4081,57.7,76.24,69,3,10.98,MU,clear sky
102,Dale,38.1689,-86.99,36.34,69,1,5.75,US,clear sky
103,Naze,28.3667,129.4833,67.82,75,45,12.91,JP,scattered clouds
104,Albany,42.6001,-73.9662,35.74,73,0,5.01,US,clear sky
105,Te Anau,-45.4167,167.7167,53.56,95,100,4.54,NZ,overcast clouds
106,Yulara,-25.2406,130.9889,89.44,29,70,11.5,AU,broken clouds
107,Katsuura,35.1333,140.3,67.19,65,35,17.29,JP,scattered clouds
108,San Cristobal,7.7669,-72.225,69.98,84,63,1.43,VE,broken clouds
109,Bereda,43.2686,-7.5406,44.87,83,68,1.16,ES,broken clouds
110,Torbay,47.6666,-52.7314,55.27,95,100,5.01,CA,overcast clouds
111,Katiola,8.1333,-5.1,75.63,66,8,3.96,CI,clear sky
112,Okha,53.5739,142.9478,29.32,82,87,18.66,RU,overcast clouds
113,Kyabram,-36.3167,145.05,65.88,40,100,10.42,AU,light rain
114,Kalabo,-14.97,22.6814,66.38,89,100,11.81,ZM,moderate rain
115,Hami,42.8,93.45,28.62,65,75,12.24,CN,broken clouds
116,Lazaro Cardenas,17.9583,-102.2,77.45,78,4,4.38,MX,clear sky
117,Chokurdakh,70.6333,147.9167,-17.59,100,100,2.84,RU,overcast clouds
118,Caravelas,-17.7125,-39.2481,76.91,86,68,11.21,BR,broken clouds
119,Barrow,71.2906,-156.7887,10.42,79,75,8.05,US,mist
120,Sept-Iles,50.2001,-66.3821,33.06,80,60,7.0,CA,broken clouds
121,Asau,46.4333,26.4,47.32,88,100,8.05,RO,overcast clouds
122,Ust-Kuyga,70.0167,135.6,-18.58,100,93,2.71,RU,overcast clouds
123,Saint-Philippe,-21.3585,55.7679,73.22,73,44,12.08,RE,scattered clouds
124,Nizhniy Kuranakh,58.8353,125.4869,-5.85,94,23,1.28,RU,few clouds
125,Bubaque,11.2833,-15.8333,84.0,71,37,13.89,GW,scattered clouds
126,Aklavik,68.2191,-135.0107,8.85,82,100,15.79,CA,overcast clouds
127,Zarubino,42.63,131.0922,35.85,50,99,1.81,RU,overcast clouds
128,Rivne,50.6231,26.2274,51.84,79,100,24.96,UA,overcast clouds
129,Meadow Lake,34.8014,-106.5436,50.4,39,34,3.94,US,scattered clouds
130,Saskylakh,71.9167,114.0833,-21.19,97,45,7.36,RU,scattered clouds
