City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Denpasar,ID,85.66,scattered clouds,-8.65,115.2167,
511,Ati,TD,79.25,clear sky,13.2154,18.3353,
512,Poum,NC,77.56,clear sky,-20.2333,164.0167,
516,Tual,ID,84.72,broken clouds,-5.6667,132.75,
519,Akyab,MM,77.9,scattered clouds,20.15,92.9,
521,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,
527,Pangkalanbuun,ID,77.74,overcast clouds,-2.6833,111.6167,
534,Dingle,PH,84.88,broken clouds,10.9995,122.6711,
539,Tabuk,PH,81.63,broken clouds,17.4189,121.4443,
541,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,
542,Coahuayana,MX,81.88,clear sky,18.7333,-103.6833,
544,Kothapet,IN,75.06,broken clouds,19.3333,79.4833,
552,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,
556,Mogadishu,SO,79.27,scattered clouds,2.0371,45.3438,
557,Apatzingan,MX,75.29,scattered clouds,19.0833,-102.35,
565,Panji,ID,77.61,moderate rain,-7.7253,114.0995,
566,Sri Aman,MY,82.45,few clouds,1.2376,111.4621,
569,Auki,SB,82.47,overcast clouds,-8.7676,160.7034,
586,Charters Towers,AU,89.1,clear sky,-20.1,146.2667,
588,Kawalu,ID,80.11,overcast clouds,-7.3817,108.2082,
593,Srandakan,ID,78.28,overcast clouds,-7.9386,110.2506,
596,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,
607,Pundaguitan,PH,83.64,overcast clouds,6.3711,126.1689,
608,Santa Marta,CO,79.61,overcast clouds,11.2408,-74.199,
609,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,
611,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,
613,Hirara,JP,78.66,scattered clouds,24.8,125.2833,
620,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,
628,Le Vauclin,MQ,78.85,few clouds,14.5452,-60.8388,
635,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,
641,Mumford,GH,79.9,few clouds,5.2618,-0.759,
645,Acajutla,SV,80.19,overcast clouds,13.5928,-89.8275,
652,Coffs Harbour,AU,82.67,light rain,-30.3,153.1333,
653,Omboue,GA,75.65,moderate rain,-1.5746,9.2618,
658,Mangrol,IN,76.17,overcast clouds,21.1167,70.1167,
664,Harper,LR,79.3,clear sky,4.375,-7.7169,
668,Corn Island,NI,81.46,overcast clouds,12.1694,-83.0418,
670,Tucuman,AR,75.2,few clouds,-26.8241,-65.2226,
675,Manggar,ID,81.97,overcast clouds,-2.8833,108.2667,
676,Whithorn,JM,78.06,broken clouds,18.2604,-78.0378,
677,Tete,MZ,82.49,scattered clouds,-16.1564,33.5867,
678,Ndele,CF,75.43,scattered clouds,8.4109,20.6473,
694,Gombong,ID,78.87,overcast clouds,-7.6072,109.5142,
